ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
000572.SZ,海马汽车,海马,False,0.09090909090909091,-0.02714932126696834,4.3,4.42,0,strict
002084.SZ,海鸥住工,海鸥,False,0.09090909090909091,-0.026578073089700838,2.93,3.01,0,strict
003011.SZ,海象新材,海象,False,0.09090909090909091,-0.020075282308657405,15.62,15.94,0,strict
300783.SZ,三只松鼠,松鼠,False,0.09090909090909091,0.01603696656700193,37.38,36.79,0,strict
300898.SZ,熊猫乳品,熊猫,False,0.09090909090909091,-0.027137546468401386,26.17,26.9,0,strict
300999.SZ,金龙鱼,金龙鱼,False,0.09090909090909091,-0.009523809523809712,33.28,33.6,0,strict
600775.SH,南京熊猫,熊猫,False,0.09090909090909091,-0.04162812210915823,10.36,10.81,0,strict
603029.SH,天鹅股份,天鹅,False,0.09090909090909091,0.006373117033603659,17.37,17.26,0,strict
603116.SH,红蜻蜓,蜻蜓,False,0.09090909090909091,-0.02577319587628879,5.67,5.82,0,strict
603269.SH,海鸥股份,海鸥,False,0.09090909090909091,0.000936329588014928,10.69,10.68,0,strict
603733.SH,仙鹤股份,仙鹤,False,0.09090909090909091,0.008204633204633272,20.89,20.72,0,strict
000050.SZ,深天马A,马,False,0.00641025641025641,0.004310344827586077,9.32,9.28,0,extended
000572.SZ,海马汽车,海马,False,0.00641025641025641,-0.02714932126696834,4.3,4.42,0,extended
000593.SZ,德龙汇能,龙,False,0.00641025641025641,-0.039076376554174064,5.41,5.63,0,extended
000677.SZ,恒天海龙,龙,False,0.00641025641025641,-0.036951501154734334,4.17,4.33,0,extended
000712.SZ,锦龙股份,龙,False,0.00641025641025641,-0.010519395134779619,15.05,15.21,0,extended
000735.SZ,罗牛山,牛,False,0.00641025641025641,-0.023222060957909796,6.73,6.89,0,extended
000766.SZ,通化金马,马,False,0.00641025641025641,0.05471324983520098,16.0,15.17,0,extended
000863.SZ,三湘印象,象,False,0.00641025641025641,-0.0360576923076924,4.01,4.16,0,extended
000910.SZ,大亚圣象,象,False,0.00641025641025641,-0.011194029850746134,7.95,8.04,0,extended
000935.SZ,四川双马,马,False,0.00641025641025641,-0.00201207243460777,14.88,14.91,0,extended
000955.SZ,欣龙控股,龙,False,0.00641025641025641,-0.041284403669724745,4.18,4.36,0,extended
001283.SZ,豪鹏科技,鹏,False,0.00641025641025641,-0.01686541737649061,57.71,58.7,0,extended
001289.SZ,龙源电力,龙,False,0.00641025641025641,-0.008658008658008809,16.03,16.17,0,extended
001317.SZ,三羊马,马,False,0.00641025641025641,-0.03272604588394057,28.67,29.64,0,extended
