ts_code,name,keyword,forced,variant
600123.SH,兰花科创,兰花,False,strict
600186.SH,莲花控股,莲花,False,strict
600510.SH,黑牡丹,牡丹,False,strict
600873.SH,梅花生物,梅花,False,strict
000812.SZ,陕西金叶,金叶,False,extended
002058.SZ,紫竹高科,紫竹,False,extended
600123.SH,兰花科创,兰花,False,extended
600186.SH,莲花控股,莲花,False,extended
600425.SH,青松建化,青松,False,extended
600493.SH,凤竹纺织,凤竹,False,extended
600510.SH,黑牡丹,牡丹,False,extended
600873.SH,梅花生物,梅花,False,extended
603102.SH,百合股份,百合,False,extended
603313.SH,梦百合,百合,False,extended
603615.SH,茶花股份,茶花,False,extended
603823.SH,百合花,百合,False,extended
603866.SH,桃李面包,桃李,False,extended
