ts_code,name,keyword,forced,weight,ret,close,pre_close,susp_days,variant
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,0.006269592476489061,3.21,3.19,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,0.0006269592476488839,15.96,15.95,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,0.0038910505836575737,2.58,2.57,0,strict
600506.SH,香梨股份,香梨,False,0.16666666666666666,0.021809369951534485,12.65,12.38,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.01209189842805325,8.17,8.27,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,0.060606060606060774,13.3,12.54,0,strict
000812.SZ,陕西金叶,金叶,False,0.06666666666666667,0.003558718861209842,5.64,5.62,0,extended
002431.SZ,棕榈股份,棕榈,False,0.06666666666666667,0.006269592476489061,3.21,3.19,0,extended
300132.SZ,青松股份,青松,False,0.06666666666666667,-0.004405286343612258,6.78,6.81,0,extended
600123.SH,兰花科创,兰花,False,0.06666666666666667,0.0006269592476488839,15.96,15.95,0,extended
600186.SH,莲花健康,莲花,False,0.06666666666666667,0.0038910505836575737,2.58,2.57,0,extended
600425.SH,青松建化,青松,False,0.06666666666666667,-0.012562814070351758,3.93,3.98,0,extended
600493.SH,凤竹纺织,凤竹,False,0.06666666666666667,-0.03367003367003374,5.74,5.94,0,extended
600506.SH,香梨股份,香梨,False,0.06666666666666667,0.021809369951534485,12.65,12.38,0,extended
600510.SH,黑牡丹,牡丹,False,0.06666666666666667,-0.01209189842805325,8.17,8.27,0,extended
600873.SH,梅花生物,梅花,False,0.06666666666666667,0.060606060606060774,13.3,12.54,0,extended
603102.SH,百合股份,百合,False,0.06666666666666667,0.0015476453681184665,45.3,45.23,0,extended
603313.SH,梦百合,百合,False,0.06666666666666667,-0.016211604095563215,11.53,11.72,0,extended
603615.SH,茶花股份,茶花,False,0.06666666666666667,0.005398110661268607,7.45,7.41,0,extended
603823.SH,百合花,百合,False,0.06666666666666667,0.004683840749414303,12.87,12.81,0,extended
603866.SH,桃李面包,桃李,False,0.06666666666666667,-0.011271133375078346,15.79,15.97,0,extended
